id;start_date;end_date;discount_percentage;new_price
1;2024-05-09T19:31:49;2024-05-10T07:43:51;30832;10740
2;2024-05-09T18:25:24;2024-05-10T01:35:39;25774;20603
3;2024-05-09T13:30:06;2024-05-10T08:27:54;5464;6093
4;2024-05-09T14:11:14;2024-05-09T23:18:11;25984;5085
5;2024-05-09T18:55:43;2024-05-10T07:23:42;22956;17374
6;2024-05-10T00:56:05;2024-05-10T07:26:33;3623;3212
7;2024-05-09T13:03:36;2024-05-10T09:08:11;20366;24361
8;2024-05-09T16:49:45;2024-05-09T10:43:14;9086;15113
9;2024-05-10T07:45:11;2024-05-10T02:10:38;23101;21735
10;2024-05-10T02:44:38;2024-05-09T10:52:49;28660;12076
